pathway	pval	padj	ES	NES	nMoreExtreme	size
MIR_504_5P	0.784584980237154	0.838057314701892	-0.100936976763678	-0.751405524265493	396	41
MIR_100_3P	0.011605415860735	0.0288878835101124	-0.220875617302828	-1.82737813273161	5	51
MIR_6916_3P	0.0932539682539683	0.163883630244487	-0.125088703169795	-1.44185404257874	46	99
MIR_7024_3P	0.0297619047619048	0.061893273594118	-0.136626633619997	-1.69716553861633	14	116
MIR_6344	0.00196850393700787	0.00676532105843526	-0.183917944023964	-4.13921093549889	0	382
MIR_677_5P	0.00191938579654511	0.00676532105843526	-0.205357607457941	-2.62969377299345	0	119
MIR_299B_5P	0.0134099616858238	0.0319320082132046	-0.228047204008742	-1.85319568267074	6	48
MIR_383_5P	0.00386847195357834	0.0115825965440327	-0.255294003142337	-2.01926095901765	1	46
MIR_5627_5P	0.425093632958801	0.526480907486332	-0.135747962282244	-1.01150451331036	226	40
MIR_200C_3P	0.00199600798403194	0.00676532105843526	-0.175904800485565	-3.4558969458064	0	295
MIR_30B_3P	0.212765957446809	0.313779735362103	-0.187216811389624	-1.22193734985987	109	31
MIR_6939_5P	0.165009940357853	0.256748318751749	-0.118582544521097	-1.30215863087044	82	88
MIR_466Q	0.00196078431372549	0.00676532105843526	-0.192413737526434	-2.67769689626517	0	145
MIR_667_5P	0.790650406504065	0.842448269970957	0.0954137103534936	0.74116777588793	388	43
MIR_7044_5P	0.380116959064327	0.483275543825148	-0.184131417930301	-1.05472940364827	194	24
MIR_12201_3P	0.301369863013699	0.407819186684157	-0.0853849473048588	-1.11899047968442	153	127
MIR_6917_3P	0.00202020202020202	0.00676532105843526	-0.323985890652557	-3.37506427189359	0	80
MIR_147_5P	0.00192678227360308	0.00676532105843526	-0.178963245217115	-2.92767183017095	0	204
MIR_703	0.00194931773879142	0.00676532105843526	-0.221219139545036	-2.65113339151783	0	106
MIR_374B_3P	0.0766208251473477	0.139634569296012	-0.254507143427249	-1.48466391178877	38	25
MIR_3087_5P	0.00760456273764259	0.0204578087361014	-0.199318933481866	-1.90608783119585	3	67
MIR_6968_3P	0.0884086444007859	0.156324618407133	-0.43226924916308	-1.48467570204537	44	8
MIR_7647_5P	0.00193423597678917	0.00676532105843526	-0.407899786972616	-2.66230356666222	0	31
MIR_329_5P	0.43811394891945	0.53682192461772	-0.0987352737352737	-1.00573223100015	222	74
MIR_3076_5P	0.216494845360825	0.31683965484046	0.192791070881191	1.26755788043738	104	31
MIR_345_5P	0.715415019762846	0.783187409429448	-0.174509491146913	-0.814515828818545	361	16
MIR_7080_5P	0.214428857715431	0.314617319745875	-0.209450830140485	-1.2424552286384	106	26
MIR_330_5P	0.186858316221766	0.282582225584495	0.0918097638017061	1.22304195354075	90	128
MIR_326_3P	0.185714285714286	0.281564325149562	0.108751652789571	1.24851105104292	90	95
MIR_6939_3P	0.719745222929936	0.786337619981755	0.11107046138837	0.801014971310769	338	38
MIR_6997_5P	0.384615384615385	0.486126776449357	-0.10762386725774	-1.07090019731248	194	72
MIR_5618_3P	0.0131086142322097	0.0316516119556437	-0.242408502477225	-1.80626869234847	6	40
MIR_1949	0.0131086142322097	0.0316516119556437	-0.242408502477225	-1.80626869234847	6	40
MIR_878_5P	0.119373776908023	0.197126811675702	-0.227869283828412	-1.3903668296089	60	27
MIR_135A_1_3P	0.382936507936508	0.484359897052487	-0.190331456249371	-1.05392556273012	192	23
MIR_7035_3P	0.468809073724008	0.56718133361573	-0.104196308135775	-0.987740711715749	247	65
MIR_6377	0.00194931773879142	0.00676532105843526	-0.259903565099312	-3.55445771623033	0	140
MIR_8096	0.813905930470348	0.859787882433137	0.198804304503786	0.726542145872781	397	9
MIR_879_5P	0.431102362204724	0.53096009253904	-0.135778224333212	-1.02230740823259	218	42
MIR_219A_1_3P	0.518518518518518	0.612278031456114	-0.16391327480713	-0.938917174106598	265	24
MIR_154_5P	0.0941619585687382	0.165142641477624	-0.199084119695211	-1.44165339930721	49	38
MIR_451A	0.198782961460446	0.298260944784865	0.364020404909931	1.25074881922855	97	8
MIR_6959_3P	0.874755381604697	0.90738765215794	-0.160022817466403	-0.684844654453885	446	13
MIR_7032_5P	0.259023354564756	0.36572994534778	0.164350002662832	1.15747680080665	121	36
MIR_6990_5P	0.278131634819533	0.387004792920803	0.155577702645876	1.12199109883711	130	38
MIR_6989_3P	0.00386100386100386	0.0115825965440327	-0.24309980806142	-1.99795309432578	1	50
MIR_7682_3P	0.149621212121212	0.238398308407551	-0.149895411837323	-1.320510010116	78	56
MIR_12194_3P	0.345454545454545	0.450828916535672	-0.103042328042328	-1.07342476910932	170	80
MIR_122B_5P	0.00192307692307692	0.00676532105843526	-0.275175933718539	-3.78312170016939	0	141
MIR_7028_3P	0.0293542074363992	0.0611191468844834	-0.148980949594994	-1.67575756797194	14	93
MIR_760_5P	0.347992351816444	0.452784010967207	-0.152611907265578	-1.07902975862882	181	37
MIR_6913_5P	0.87374749498998	0.90738765215794	0.0628181380628036	0.700038349127191	435	88
MIR_7672_5P	0.498969072164948	0.591218337053176	0.211562998405104	0.948881551694215	241	14
MIR_7021_3P	0.00386100386100386	0.0115825965440327	-0.146947505044859	-1.97361262741196	1	136
MIR_6927_5P	0.294871794871795	0.400914017633261	0.166411388836685	1.13776031570945	137	34
MIR_7070_5P	0.208860759493671	0.310197471998561	0.179064964111693	1.24778310223263	98	35
MIR_7073_3P	0.0928433268858801	0.163662469888811	-0.226876397317151	-1.46142271385443	47	30
MIR_296_3P	0.013671875	0.032332390260631	-0.355518329433454	-1.7675653170282	6	18
MIR_7664_5P	0.00194931773879142	0.00676532105843526	-0.187134706795363	-2.24265888981132	0	106
MIR_505_3P	0.00384615384615385	0.0115825965440327	-0.247361914433308	-2.21316918429276	1	58
MIR_5107_3P	0.193675889328063	0.291358842235237	-0.167624694707748	-1.24784915939788	97	41
MIR_331_3P	0.240165631469979	0.34446385079388	0.14514031122245	1.18531159115783	115	49
MIR_410_5P	0.136082474226804	0.219053394553698	0.216229609746025	1.36031269038803	65	29
MIR_494_5P	0.150515463917526	0.239481970109276	0.208181624614074	1.34077492250371	72	30
MIR_6347	0.648702594810379	0.726209917826684	0.30588891545143	0.870055275006462	324	5
MIR_1966_5P	0.36144578313253	0.466067711384055	0.187298976798409	1.06982609987623	179	23
MIR_6963_5P	0.292730844793713	0.399578762014538	-0.193659509936946	-1.12971008084993	148	25
MIR_7656_5P	0.127659574468085	0.207961791242821	-0.215841420607062	-1.36852487284343	65	29
MIR_7118_5P	0.721374045801527	0.787119528456856	-0.0537598838147491	-0.785315016259557	377	160
MIR_21B	0.00788954635108481	0.0205772736902726	-0.112671725639889	-1.97561930095779	3	239
MIR_702_3P	0.0301810865191147	0.0625386937006655	0.225059952038369	1.76043385329122	14	44
MIR_6340	0.00588235294117647	0.0161741251524533	-0.164480927979241	-1.99542371888385	2	108
MIR_12188_3P	0.110429447852761	0.185918328220859	0.138957516795392	1.3829567115229	53	73
MIR_298_5P	0.514285714285714	0.608530248063536	0.0793393234874479	0.947905065292431	251	105
MIR_6537_3P	0.702247191011236	0.773099717307389	-0.118722984401428	-0.812173101637712	374	34
MIR_3068_5P	0.393063583815029	0.494990225344857	-0.125259958406655	-1.04682459204596	203	52
MIR_7048_5P	0.0199600798403194	0.044401519541562	0.174751672948355	1.80896445762874	9	77
MIR_185_3P	0.0222222222222222	0.0483726150392817	0.17413742455803	1.72210246782079	10	72
MIR_7662_3P	0.575	0.659547571523619	-0.101489028213166	-0.908031417446666	298	58
MIR_505_5P	0.747916666666667	0.805880208333333	0.0965869715869715	0.777855092818006	358	48
MIR_7052_5P	0.00571428571428571	0.0161568451042135	-0.211633471162619	-2.01094351094842	2	66
MIR_6990_3P	0.213725490196078	0.314119987295856	-0.161022950965941	-1.22383423707265	108	43
MIR_687	0.0234833659491194	0.0504804524891294	-0.281723329460218	-1.71896258165019	11	27
MIR_3544_5P	0.0682261208576998	0.12702141723399	-0.122377138852265	-1.50335064195934	34	111
MIR_7049_3P	0.970893970893971	0.976739924973721	0.0586530238279497	0.54718411060613	466	63
MIR_7211_5P	0.001953125	0.00676532105843526	-0.208803919993574	-2.48503321812897	0	105
MIR_7228_3P	0.422053231939163	0.524599691321642	-0.249773506410675	-0.999848800400281	221	11
MIR_879_3P	0.0138339920948617	0.0324929187623181	-0.387980539160951	-1.81088311210595	6	16
MIR_6901_3P	0.00564971751412429	0.0161568451042135	-0.292320566516964	-2.11681845368567	2	38
MIR_134_5P	0.576402321083172	0.660716490390551	-0.108207755628845	-0.895239089052612	297	51
MIR_1906	0.0494845360824742	0.0961796394658236	0.084061643578481	1.58160528291142	23	260
MIR_3080_3P	0.160079051383399	0.250887531440891	0.339317602040816	1.31826712197707	80	10
MIR_7021_5P	0.346228239845261	0.450828916535672	-0.168481848184818	-1.08527463729632	178	30
MIR_6910_5P	0.494866529774127	0.587855067307122	0.149517574872836	0.927764797224275	240	28
MIR_679_3P	0.161904761904762	0.252600732600733	-0.194732271202683	-1.29724829695336	84	32
MIR_1931	0.118095238095238	0.195762699447627	-0.185977852218364	-1.36503732977696	61	39
MIR_7655_3P	0.0137524557956778	0.0324339723553331	-0.162668830464257	-1.76334574965104	6	85
MIR_7056_5P	0.890756302521008	0.919559200925879	0.0683313631251128	0.655072256654544	423	67
MIR_7116_5P	0.00195694716242661	0.00676532105843526	-0.145461495202278	-2.27181312655487	0	184
MIR_7236_5P	0.00189393939393939	0.00676532105843526	-0.238908106758325	-3.6794844167383	0	176
MIR_12184_3P	0.520958083832335	0.613897290859157	-0.33892740457407	-0.937651675057001	260	5
MIR_7022_5P	0.276391554702495	0.385517022902186	-0.127977970849357	-1.16177196609837	143	59
MIR_468_5P	0.00193423597678917	0.00676532105843526	-0.308018520320908	-2.43628822096389	0	46
MIR_7674_5P	0.593810444874275	0.675728849480693	-0.137388495490877	-0.896715059055119	306	31
MIR_762	0.136734693877551	0.219897959183673	0.112089288581982	1.31622360469385	66	100
MIR_483_3P	0.00573613766730402	0.0161568451042135	-0.276793290854168	-1.95704387142414	2	37
MIR_877_5P	0.267686424474187	0.376727670035509	-0.163157565170827	-1.15359195307332	139	37
