pathway	pval	padj	ES	NES	nMoreExtreme	size
BIOCARTA_CTLA4_PATHWAY	0.123667377398721	0.587359943977591	-0.483321380189656	-1.35030791725242	57	5
BIOCARTA_LONGEVITY_PATHWAY	0.841603053435115	0.954316631380852	0.163114216140291	0.69559465621798	440	13
BIOCARTA_PAR1_PATHWAY	0.707006369426752	0.888808007279345	-0.16155004715454	-0.798352379499141	332	17
BIOCARTA_STRESS_PATHWAY	0.113490364025696	0.587359943977591	-0.240941739824421	-1.40751694047896	52	24
BIOCARTA_TNFR1_PATHWAY	0.911949685534591	0.993726992712794	-0.101309276704455	-0.638500063007273	434	28
BIOCARTA_TNFR2_PATHWAY	0.0403397027600849	0.551378446115288	-0.328524039431518	-1.62350895727022	18	17
BIOCARTA_TOLL_PATHWAY	0.307359307359307	0.778485491861288	-0.194071745549299	-1.11247331590346	141	23
BIOCARTA_TPO_PATHWAY	0.452380952380952	0.814950775905223	-0.174270418058866	-0.998966589871691	208	23
BIOCARTA_CREB_PATHWAY	0.353319057815846	0.814950775905223	-0.203384208426931	-1.0718131191395	164	19
BIOCARTA_CARM1_PATHWAY	0.629787234042553	0.841506751954513	-0.206380958593348	-0.840630671834792	295	11
BIOCARTA_TFF_PATHWAY	0.915413533834586	0.993726992712794	0.1210290547241	0.656120111379804	486	21
BIOCARTA_TRKA_PATHWAY	0.261278195488722	0.776773013615119	0.300515318214433	1.18560818115495	138	11
BIOCARTA_ARF_PATHWAY	0.403703703703704	0.814950775905223	0.235862383230804	1.04033266165213	217	14
BIOCARTA_UCALPAIN_PATHWAY	0.467043314500942	0.814950775905223	0.266896948762234	0.969497089569861	247	9
BIOCARTA_VITCB_PATHWAY	0.407969639468691	0.814950775905223	0.319962654704027	1.03599149460535	214	7
BIOCARTA_WNT_PATHWAY	0.276231263383298	0.778485491861288	-0.221921776919363	-1.16950413094819	128	19
BIOCARTA_ACTINY_PATHWAY	0.621052631578947	0.838230545689377	-0.265686732172745	-0.871611772443307	294	7
BIOCARTA_EICOSANOID_PATHWAY	0.614942528735632	0.838230545689377	0.212858130016478	0.872609672761622	320	12
BIOCARTA_CHREBP_PATHWAY	0.844402277039848	0.954316631380852	0.215486912067768	0.697714576432314	444	7
BIOCARTA_LIS1_PATHWAY	0.235416666666667	0.739880952380952	-0.282251634508053	-1.20799244378402	112	12
BIOCARTA_HSWI_SNF_PATHWAY	0.559414990859232	0.836513383665065	0.234964923469388	0.897416860087923	305	10
BIOCARTA_PCAF_PATHWAY	0.167728237791932	0.683337265078242	-0.350507063460431	-1.28360310826099	78	9
BIOCARTA_LYMPHOCYTE_PATHWAY	0.434873949579832	0.814950775905223	-0.327276591223037	-1.00429175121572	206	6
BIOCARTA_AMAN_PATHWAY	0.0959488272921109	0.587359943977591	-0.516136743963662	-1.44198779595792	44	5
BIOCARTA_EFP_PATHWAY	0.0632183908045977	0.584466322862947	0.378528145431351	1.55177216435353	32	12
BIOCARTA_ERAD_PATHWAY	0.725941422594142	0.897230971745569	-0.181245514711745	-0.796243718190568	346	13
BIOCARTA_BTG2_PATHWAY	0.433145009416196	0.814950775905223	0.275133962180594	0.999417853268672	229	9
BIOCARTA_TERT_PATHWAY	1	1	0.156809307514543	0.433801623954468	532	5
BIOCARTA_CTBP1_PATHWAY	0.375478927203065	0.814950775905223	0.305236728837877	1.04100846628	195	8
BIOCARTA_PRION_PATHWAY	0.738853503184713	0.902231849490106	-0.210167840219654	-0.769662358010941	347	9
BIOCARTA_PRC2_PATHWAY	0.476923076923077	0.814950775905223	-0.255899234693878	-0.993311671422363	216	10
BIOCARTA_RANBP2_PATHWAY	0.959770114942529	0.998493737117489	0.137790357731356	0.564870127161023	500	12
BIOCARTA_IRES_PATHWAY	0.754201680672269	0.906228433402346	-0.259191371798959	-0.795363199400308	358	6
BIOCARTA_PLC_PATHWAY	0.28125	0.778485491861288	-0.329069025984377	-1.1513734246354	134	8
BIOCARTA_CDC25_PATHWAY	0.0664136622390892	0.584466322862947	0.45872092361293	1.48527013472902	34	7
BIOCARTA_DSP_PATHWAY	0.921455938697318	0.993726992712794	0.180356288857006	0.615104297447464	480	8
BIOCARTA_MELANOCYTE_PATHWAY	0.0505263157894737	0.551378446115288	-0.475298591581368	-1.55926434286033	23	7
BIOCARTA_S1P_PATHWAY	0.127376425855513	0.587359943977591	0.446605036659229	1.34510880746579	66	6
BIOCARTA_HBX_PATHWAY	0.580645161290323	0.836513383665065	0.274430996595657	0.888566756617778	305	7
BIOCARTA_MALATEX_PATHWAY	0.0134099616858238	0.368773946360153	0.555455922206281	1.89437987972026	6	8
BIOCARTA_TSP1_PATHWAY	0.296577946768061	0.778485491861288	0.374508553819998	1.1279647851328	155	6
BIOCARTA_NPP1_PATHWAY	0.469043151969981	0.814950775905223	0.357845246633198	0.989953030048751	249	5
BIOCARTA_CPSF_PATHWAY	0.84453781512605	0.954316631380852	-0.234326851556689	-0.719063111807945	401	6
BIOCARTA_HES_PATHWAY	0.506591337099812	0.836513383665065	0.25874850538063	0.939898054512973	268	9
BIOCARTA_TERC_PATHWAY	0.38655462184874	0.814950775905223	-0.339416640102008	-1.04154510594832	183	6
BIOCARTA_REELIN_PATHWAY	0.814498933901919	0.952974336151906	-0.260498844529445	-0.727784175542138	381	5
BIOCARTA_SAM68_PATHWAY	0.96218487394958	0.998493737117489	-0.193895441504622	-0.594993952282756	457	6
BIOCARTA_FBW7_PATHWAY	0.618773946360153	0.838230545689377	0.253327753865774	0.863973144785063	322	8
BIOCARTA_SUMO_PATHWAY	0.82319391634981	0.953171903141885	0.23889597279779	0.719519599425399	432	6
BIOCARTA_IFNA_PATHWAY	0.00210526315789474	0.154385964912281	-0.74121303897346	-2.43162315774841	0	7
BIOCARTA_PKC_PATHWAY	0.412631578947368	0.814950775905223	-0.308167006341869	-1.01097254051641	195	7
BIOCARTA_PPARG_PATHWAY	0.680170575692964	0.875073255277497	-0.294477647621324	-0.822714482195906	318	5
BIOCARTA_ION_PATHWAY	0.631130063965885	0.841506751954513	-0.304295162961192	-0.850142750910127	295	5
BIOCARTA_PELP1_PATHWAY	0.520255863539446	0.836513383665065	-0.337477089807953	-0.942846737051377	243	5
BIOCARTA_STAT3_PATHWAY	0.210416666666667	0.71323312702623	-0.352941176470588	-1.23489924289344	100	8
BIOCARTA_EEA1_PATHWAY	0.74108818011257	0.902231849490106	0.282604191569049	0.781804085370528	394	5
BIOCARTA_CIRCADIAN_PATHWAY	0.788973384030418	0.928203981212257	0.25106258633514	0.756163653304731	414	6
BIOCARTA_RECK_PATHWAY	0.555977229601518	0.836513383665065	0.277619009666511	0.898889068854967	292	7
BIOCARTA_NOTCH_PATHWAY	0.128151260504202	0.587359943977591	-0.426601848900223	-1.30908451564718	60	6
BIOCARTA_MRP_PATHWAY	0.300639658848614	0.778485491861288	-0.399713124551757	-1.11672236907903	140	5
BIOCARTA_IFNG_PATHWAY	0.0810234541577825	0.587359943977591	-0.54762929317077	-1.52997198261263	37	5
