pathway	pval	padj	ES	NES	nMoreExtreme	size
MIR_380_5P	0.362763915547025	0.464985122976261	0.140145671348228	1.07228098269422	188	39
MIR_7010_5P	0.0252100840336134	0.052873704226216	-0.118750165602395	-1.68927226091684	11	146
MIR_7683_3P	0.0397489539748954	0.0765667001706365	-0.102874739810731	-1.551619079999	18	165
MIR_7027_5P	0.0361702127659574	0.0707803028473446	-0.103623271013832	-1.57175672824172	16	170
MIR_6390	0.14519427402863	0.226940098300415	-0.169761009525703	-1.29149174107291	70	41
MIR_6925_5P	0.106753812636166	0.176118251660047	-0.087760471517907	-1.35495962488374	48	178
MIR_6946_5P	0.00217864923747277	0.00680433203877364	-0.243172556413843	-3.15260301223311	0	123
MIR_130B_5P	0.00212314225053079	0.00680433203877364	-0.268825751498622	-2.9682111071603	0	88
MIR_7014_3P	0.00210970464135021	0.00680433203877364	-0.283705807280004	-3.2574890844636	0	93
MIR_6417	0.00208768267223382	0.00680433203877364	-0.183544808154072	-2.73823463148569	0	161
MIR_6363	0.928846153846154	0.952039696332205	-0.102798307925613	-0.613112198893173	482	25
MIR_690	0.0081799591002045	0.0213024916748528	-0.195136362422203	-2.02211484739852	3	75
MIR_367_5P	0.0207900207900208	0.0450842714993658	-0.245695087962223	-1.75096762460514	9	36
MIR_467A_5P	0.00212314225053079	0.00680433203877364	-0.191470005886445	-2.23386788215907	0	96
MIR_449C_3P	0.00190839694656489	0.00680433203877364	-0.35406979145158	-2.25733711758541	0	29
MIR_292A_3P	0.0336842105263158	0.066514157066732	-0.155330889372589	-1.68967026838327	15	84
MIR_290A_3P	0.0210084033613445	0.04532977145802	-0.163997508039185	-1.80230744619047	9	86
MIR_130B_3P	0.00207900207900208	0.00680433203877364	-0.227762872768548	-4.00285367592125	0	220
MIR_6341	0.00206185567010309	0.00680433203877364	-0.233879508323516	-4.11341541968124	0	218
MIR_6389	0.00211864406779661	0.00680433203877364	-0.233800937469962	-4.06125723052983	0	215
MIR_130C	0.00211864406779661	0.00680433203877364	-0.233800937469962	-4.06125723052983	0	215
MIR_7241_5P	0.00203252032520325	0.00680433203877364	-0.243824131826726	-2.18612162792301	0	57
MIR_3073B_5P	0.00204918032786885	0.00680433203877364	-0.261771137211131	-2.7903236180376	0	79
MIR_3073A_5P	0.00205761316872428	0.00680433203877364	-0.239498156164823	-2.55830345206651	0	80
MIR_12189_3P	0.157370517928287	0.240307150494567	-0.194991202658322	-1.32770127788686	78	33
MIR_6937_3P	0.00214132762312634	0.00680433203877364	-0.178787539220081	-2.44760171080414	0	138
MIR_12196_3P	0.00214132762312634	0.00680433203877364	-0.186114457268788	-2.54790723113945	0	138
MIR_218_2_3P	0.288461538461538	0.390045248868778	-0.209573958831977	-1.12485909446525	149	20
MIR_7687_3P	0.00954198473282443	0.0245895092367553	-0.306405120792897	-1.95345569964738	4	29
MIR_7037_3P	0.107142857142857	0.176591095329145	-0.155017881584176	-1.40329793684393	53	58
MIR_7047_3P	0.464143426294821	0.561926451497381	-0.144307865815733	-0.982596831244767	232	33
MIR_1199_5P	0.0119760479041916	0.0292861086337962	-0.194335947921669	-1.79617810898282	5	60
MIR_6915_3P	0.00397614314115308	0.0120621860263353	-0.241463617359285	-2.04024899963235	1	51
MIR_7067_3P	0.00203665987780041	0.00680433203877364	-0.285110962817837	-2.22647435399901	0	43
MIR_7068_5P	0.582677165354331	0.667943129099344	-0.13426649803072	-0.879285306199738	295	31
MIR_105	0.00811359026369168	0.0213024916748528	-0.199122920997921	-2.04719989801544	3	74
MIR_1258_5P	0.290123456790123	0.391422874785548	-0.106824590393042	-1.12563939112845	140	78
MIR_1224_5P	0.0438931297709924	0.0835229091889524	-0.254192305045082	-1.62057803019698	22	29
MIR_6387	0.0297872340425532	0.060203038088349	-0.121016964037412	-1.63625873915997	13	132
MIR_292B_5P	0.00198019801980198	0.00680433203877364	-0.160667142492447	-3.22472390836563	0	291
MIR_294_5P	0.00200803212851406	0.00680433203877364	-0.156898604387562	-3.13016782636515	0	293
MIR_3112_5P	0.0393374741200828	0.0758588427103163	-0.132587272165585	-1.62277875344302	18	104
MIR_7051_5P	0.421906693711968	0.520195924489389	-0.0997446668313977	-1.00329132088159	207	71
MIR_540_3P	0.202380952380952	0.294469106990352	-0.146976483762598	-1.26107535650526	101	52
MIR_6915_5P	0.163636363636364	0.247899025403419	-0.151725220472928	-1.30998990465744	80	53
MIR_384_3P	0.00202429149797571	0.00680433203877364	-0.213268257750104	-2.2379141314562	0	77
MIR_194_2_3P	0.975560081466395	0.981824623729168	-0.0700406897743939	-0.546958271887721	478	43
MIR_7055_5P	0.995951417004049	0.997212085392198	0.0517452281084277	0.49583665404179	491	65
MIR_6926_5P	0.993987975951904	0.996299575895978	0.0496403820394852	0.482798422472137	495	66
